0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
17.61544,4.966152,4.834801,4.852657,7.368809,7.985889,9.103092,8.435646,10.22943,9.025192,9.794884,9.414948,10.65347,10.92381,11.65572,12.91701,12.86751,12.02499,11.87335,12.30287,12.82053,14.64886,13.41521,13.29579,14.10251,14.40659,15.36627,13.88141,14.79446,11.73688,17.33218,13.48279,13.33588,13.52597,12.8985,11.51425,12.19919,11.75146,10.79422,13.9057,12.92178,12.58771,12.20053,16.54407,12.35736,12.17999,11.91156,14.6134,13.31665,12.68744
11,15,25,35,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
5,7,11,16,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
0,3,6,9,16,20,16,21,18,21,21,21,21,23,17,22,19,17,20,21,21,22,22,19,21,21,23,22,23,22,21,20,21,21,21,22,21,22,22,20,20,21,23,23,21,19,19,21,22,23
0,15,14,11,16,12,17,19,20,16,18,17,16,18,20,22,22,22,21,19,22,23,23,21,20,20,22,23,17,20,22,20,19,23,20,20,21,21,20,22,21,23,20,22,22,23,19,21,22,19
0,3,6,7,13,13,8,10,7,7,6,8,7,10,5,5,1,1,1,4,3,0,6,7,2,10,2,1,0,5,1,4,0,1,1,1,0,0,0,0,0,0,0,7,0,4,3,0,0,1
0,10,10,6,6,4,8,9,6,6,7,8,7,8,8,13,11,7,8,10,11,11,8,7,7,8,7,7,4,6,10,8,6,9,7,8,6,4,6,5,10,7,6,3,2,4,4,4,4,3
0,0,0,2,3,2,0,0,1,1,1,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,3,1,3,1,3,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
0,0,0,0,0,5,8,11,10,13,14,11,11,13,12,16,18,16,18,17,18,22,16,12,19,11,21,21,23,17,20,16,21,20,20,21,21,22,22,20,20,21,23,16,21,15,16,21,22,22
0,4,0,2,9,5,8,7,12,10,8,8,9,10,12,9,11,15,12,9,11,12,15,14,13,12,15,16,13,14,12,12,13,14,13,12,15,17,14,17,11,16,14,19,20,18,13,17,18,16
10,10,10,9.914286,9.897959,9.92,9.84,9.88,9.86,9.78,9.84,9.92,9.98,10.04,10.04,10.1,10.12,10.1,10.04,10.02,10.04,10.04,10.02,10.02,10.02,10,9.94,9.96,9.96,9.9,9.96,9.94,9.94,9.92,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.98,9.98,10.02,10.16,10.16,10.16,10.16
10,9.96,9.98,10,10,9.98,10,10,10.02,10.04,10.04,10.02,10.04,10.06,10.08,10.06,10.08,10.12,10.16,10.22,10.28,10.42,10.64,10.76,10.84,10.96,11,11.04,11.06,11.14,11.18,11.24,11.26,11.34,11.26,11.4,11.5,11.54,11.64,11.7,11.82,11.9,11.9,11.96,11.96,11.96,12,12.02,12.02,12.04
1,1,2,3,4,1,2,3,2,4,1,4,3,2,0,3,3,3,3,4,2,2,1,2,1,4,3,6,5,4,4,2,6,6,4,3,5,2,3,1,1,3,4,2,2,1,2,4,5,1
5,3,0,2,1,6,2,3,1,5,3,1,3,2,3,1,3,3,2,3,2,3,3,4,1,2,1,0,1,3,5,2,2,3,3,4,5,3,3,2,3,1,3,3,3,1,5,3,1,3
0,3,2,1,1,2,2,3,1,2,1,5,2,2,3,3,1,2,6,3,1,4,6,3,4,3,3,4,1,3,4,2,3,2,4,4,5,4,3,6,4,5,4,5,5,3,6,2,5,3
3,0,3,2,0,2,2,2,1,3,2,0,3,1,1,3,3,2,5,4,6,5,6,2,4,4,1,3,3,2,4,2,6,3,3,5,5,4,4,1,3,6,4,3,5,3,4,3,3,2
1,0,1,0,7,3,1,6,1,4,4,2,1,6,3,5,2,3,4,4,3,5,2,2,9,3,2,3,2,2,3,4,0,2,4,2,3,7,3,3,4,5,1,3,3,3,6,3,1,2
1,2,1,3,3,2,5,2,3,0,2,4,4,5,3,5,3,6,3,5,5,3,3,1,3,4,5,5,4,4,1,1,7,4,3,4,2,3,3,3,2,3,2,5,1,1,2,4,3,4
0,0,1,6,2,2,4,2,5,4,7,4,6,3,3,2,4,3,3,4,4,3,3,6,2,4,4,3,3,1,2,7,5,6,3,3,1,7,6,2,1,4,4,2,3,3,2,6,7,6
1,2,2,3,4,1,3,4,2,4,5,4,1,4,6,3,4,6,4,3,4,7,2,2,4,5,5,1,6,6,3,5,3,1,1,5,3,2,5,3,4,1,2,1,4,4,2,3,3,4
