0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
16.81625,3.690491,4.739613,5.523682,5.33773,7.422993,8.052868,7.852524,7.880791,9.267586,8.677887,9.054756,8.591476,8.485031,7.91552,8.131622,8.942566,8.022308,8.181702,8.946259,9.108337,8.206543,9.017929,10.33734,9.384857,11.32896,10.95555,9.849564,10.01479,9.908813,9.352203,9.796387,10.24704,9.970123,10.33008,10.98608,11.29633,10.11435,10.98245,11.17462,11.27115,10.96469,11.90448,17.03885,9.669373,11.97153,12.43109,12.36249,13.59592,11.57587
9,15,19,28,40,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
4,7,9,13,18,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
0,2,5,9,7,13,20,15,18,18,17,15,15,17,15,13,14,18,13,17,16,12,16,15,15,19,14,17,17,12,17,16,16,19,18,16,13,12,15,13,18,16,17,19,15,16,15,18,17,17
0,13,14,18,15,18,19,18,19,21,18,19,20,22,17,16,22,15,18,17,19,15,12,19,18,18,18,14,17,18,19,15,18,13,17,18,21,16,19,19,18,19,20,20,18,20,20,20,21,21
0,2,3,8,7,8,12,7,7,8,5,7,5,7,5,2,6,5,4,7,8,4,5,0,0,8,1,0,1,2,1,0,0,0,2,0,4,3,0,1,6,0,0,0,0,0,0,0,0,1
0,8,10,9,7,10,9,13,13,10,6,7,10,11,11,4,9,5,8,8,8,9,9,10,9,5,6,6,8,5,8,9,8,5,6,9,10,5,6,8,8,6,8,8,6,5,4,6,7,11
0,0,0,1,0,1,3,0,2,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,1,5,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,4,5,8,9,10,11,8,10,9,10,10,7,12,9,9,8,8,11,15,14,11,13,16,15,10,15,16,16,19,16,16,9,9,15,12,12,16,17,19,15,16,15,18,17,16
0,1,3,8,3,7,9,5,5,10,12,12,10,11,6,12,12,9,10,8,10,5,3,9,9,13,12,8,8,13,10,6,10,8,11,9,11,11,13,11,10,13,12,12,12,15,16,14,14,10
10,10,10.05263,10,9.875,9.816326,9.86,9.86,9.9,9.96,9.96,10,10,10.02,10.06,10.08,10.04,10.04,10.04,10.02,10.06,10.04,10.06,10.06,10.06,10.08,10.1,10.1,10.12,10.08,10.12,10.12,10.12,10.12,10.14,10.14,10.2,10.22,10.22,10.22,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26
9.84,9.88,9.84,9.78,9.74,9.68,9.6,9.48,9.44,9.4,9.4,9.38,9.32,9.32,9.32,9.32,9.42,9.48,9.48,9.4,9.4,9.32,9.36,9.6,9.68,9.66,9.72,9.86,9.88,9.9,10.2,10.26,10.4,10.42,10.44,10.42,10.4,10.36,10.46,10.54,10.56,10.54,10.42,10.5,10.62,10.66,10.56,10.46,10.36,10.16
0,0,1,1,3,1,1,4,4,2,2,1,1,0,3,4,2,2,3,3,2,2,2,4,2,1,2,4,5,5,5,4,1,3,2,1,2,1,1,1,4,2,2,3,3,5,5,2,4,3
4,3,3,1,2,1,5,1,3,2,3,4,3,2,2,3,2,4,3,1,1,1,4,0,1,4,1,3,1,2,2,3,3,5,3,3,4,3,5,3,4,3,1,6,6,1,4,2,2,5
0,2,0,1,1,3,4,3,4,3,3,4,3,3,2,1,4,3,2,2,2,2,3,1,3,4,3,3,1,3,3,4,2,4,2,3,0,6,3,3,4,1,8,3,4,3,6,5,5,2
1,4,0,1,3,3,3,2,2,6,1,2,4,4,3,2,2,3,1,4,0,2,4,6,4,5,4,2,3,5,2,3,0,3,1,6,3,4,3,3,1,1,6,3,3,3,2,2,2,2
0,1,1,0,0,2,5,5,3,2,3,0,1,2,2,3,3,3,1,0,6,3,2,1,4,2,2,3,4,1,0,2,6,5,5,1,0,3,2,2,3,1,2,3,4,2,2,2,0,1
1,3,6,4,2,1,0,3,5,2,3,4,4,3,1,3,4,1,4,3,4,1,1,2,3,3,3,2,2,0,2,2,2,3,6,1,2,3,1,3,4,1,5,3,2,3,6,4,3,4
1,0,2,4,2,3,3,1,2,3,3,4,4,1,3,5,3,1,2,3,1,3,1,1,1,2,2,2,0,2,5,2,4,1,3,0,3,3,2,4,3,5,3,4,2,1,3,1,0,2
3,0,1,1,2,5,3,4,6,5,2,3,4,2,5,3,3,1,2,5,3,3,5,4,3,1,2,2,2,5,3,3,0,3,3,2,4,2,2,1,2,4,4,4,4,6,4,6,2,1
0.7319431,0.7358275,0.7366121,0.7208642,0.7264218,0.7247449,0.7391513,0.7240173,0.7346479,0.7221777,0.7190077,0.725801,0.7137718,0.7186444,0.7210709,0.7267222,0.6969795,0.6779292,0.6675984,0.6724224,0.6720745,0.6532288,0.6315284,0.6215638,0.6333681,0.6182227,0.6212487,0.6312361,0.6424029,0.645108,0.6513125,0.6534981,0.6559348,0.6542649,0.6481737,0.6437118,0.6428734,0.6468368,0.6477263,0.6466591,0.6459997,0.6442276,0.6440234,0.644679,0.6442748,0.6432178,0.643429,0.6422369,0.6415867,0.6433217
0.8038892,0.8136749,0.8234051,0.8268256,0.8239923,0.8179843,0.8284367,0.8384208,0.8187304,0.817651,0.8119048,0.8061112,0.8003572,0.8015478,0.8018257,0.8114288,0.8331906,0.8441271,0.8583811,0.8646588,0.868254,0.8607938,0.8497143,0.8526429,0.8511826,0.8528731,0.8519207,0.8425874,0.834143,0.8393018,0.8553565,0.8430232,0.8564979,0.8636565,0.8605757,0.849869,0.8407326,0.8428437,0.8473991,0.8565404,0.8751513,0.8871108,0.9018837,0.9077929,0.9026415,0.9010305,0.9065306,0.9098639,0.915157,0.9304497
0.340865,0.3747416,0.3936003,0.4286472,0.4612496,0.5011558,0.5356976,0.5471499,0.5372878,0.5429385,0.5469273,0.5419061,0.533886,0.5119893,0.5044039,0.5033325,0.5010163,0.4971387,0.5084318,0.5181046,0.5227003,0.5158726,0.521434,0.5274198,0.5446289,0.5268285,0.522415,0.538272,0.544825,0.554445,0.5594882,0.5639409,0.5720909,0.5848982,0.5979687,0.6005156,0.6123254,0.6105846,0.5993558,0.6060334,0.6178911,0.6205987,0.6387134,0.6380444,0.6426547,0.6468412,0.6471508,0.6503361,0.6523219,0.660965
0.08595712,0.08680098,0.08736235,0.08734164,0.08651024,0.08496574,0.08444884,0.08473033,0.08352825,0.08325812,0.08250406,0.08261012,0.08054049,0.08159054,0.08267468,0.08339435,0.08537549,0.08637834,0.08882913,0.08837069,0.08996157,0.08869901,0.08888088,0.09078931,0.09044677,0.09120796,0.09168003,0.09167546,0.0900135,0.09013972,0.09317873,0.09278369,0.09571284,0.09626064,0.09559387,0.09449223,0.09193421,0.09065012,0.0919229,0.09279639,0.09434967,0.09525074,0.09499513,0.09731864,0.09882313,0.09931337,0.09849452,0.09676106,0.0961588,0.09389165
0.5413685,0.6150123,0.6983926,0.7819561,0.8128603,0.8592641,0.8861716,0.8969362,0.9105973,0.9156729,0.9203556,0.9237878,0.9284674,0.9327909,0.9362618,0.9379182,0.9428012,0.9457396,0.9483299,0.9512048,0.9536517,0.9551948,0.9568087,0.9588603,0.9602506,0.9609535,0.9621137,0.963158,0.9640677,0.9648712,0.9658267,0.9671181,0.968229,0.9688799,0.9696857,0.9708472,0.9717165,0.9720806,0.9724905,0.9728969,0.9734247,0.9738156,0.974359,0.9747294,0.9748917,0.9751336,0.9753017,0.9756873,0.976005,0.9764894
0.7024583,0.6871853,0.7002106,0.7126441,0.7146269,0.7144227,0.7479758,0.7599175,0.7574356,0.7701128,0.7801034,0.7846974,0.7862404,0.7899639,0.7996834,0.8043022,0.8069809,0.8017396,0.8016859,0.783717,0.794627,0.8113863,0.8228316,0.8228316,0.8228316,0.8078646,0.8125989,0.8125989,0.8038747,0.801187,0.8011464,0.8011464,0.8011464,0.8011464,0.808491,0.808491,0.8085941,0.8064499,0.8064499,0.8048493,0.8046169,0.8046169,0.8046169,0.8046169,0.8046169,0.8046169,0.8046169,0.8046169,0.8046169,0.8098044
0.8518518,0.8518519,0.8479532,0.8452382,0.8453871,0.8428897,0.856032,0.8671432,0.8633654,0.8684447,0.874667,0.8840559,0.8840559,0.8818336,0.8865003,0.8912225,0.8885002,0.8885002,0.8862779,0.8807223,0.8841113,0.8838335,0.8960557,0.8960557,0.8960557,0.9005002,0.8985002,0.8985002,0.8967224,0.898278,0.8987225,0.8987225,0.8987225,0.8987225,0.9053891,0.9053891,0.9105154,0.9149598,0.9149598,0.9129599,0.91346,0.91346,0.91346,0.91346,0.91346,0.91346,0.91346,0.91346,0.91346,0.9156821
0.3507877,0.4529475,0.4721302,0.509308,0.5260918,0.5346742,0.5500363,0.5561767,0.5681407,0.5864651,0.5904428,0.606884,0.6192577,0.6290329,0.6352625,0.6411684,0.645156,0.6294764,0.6227019,0.6299755,0.6269405,0.6330538,0.6380669,0.6380669,0.6380669,0.6558802,0.6507789,0.6507789,0.6533526,0.6516659,0.6475395,0.6475395,0.6475395,0.6475395,0.6501182,0.6501182,0.6601007,0.6694971,0.6694971,0.6685374,0.6700169,0.6700169,0.6700169,0.6700169,0.6700169,0.6700169,0.6700169,0.6700169,0.6700169,0.6686748
0.0802432,0.08160727,0.08255324,0.08107667,0.08146452,0.08082713,0.08357158,0.08456162,0.08397478,0.08317385,0.08294319,0.08401051,0.08382226,0.08374706,0.08368478,0.08448656,0.08337371,0.0860214,0.08669837,0.08632772,0.08689737,0.08686268,0.0861643,0.0861643,0.0861643,0.08558797,0.08632456,0.08632456,0.08634465,0.08676688,0.08768661,0.08768661,0.08768661,0.08768661,0.0871358,0.0871358,0.08643381,0.08520811,0.08520811,0.08536022,0.08561481,0.08561481,0.08561481,0.08561481,0.08561481,0.08561481,0.08561481,0.08561481,0.08561481,0.08577361
2,5,9,7,13,20,15,18,18,17,15,15,17,15,13,14,18,13,17,16,12,16,15,15,19,14,17,17,12,17,16,16,19,18,16,13,12,15,13,18,16,17,19,15,16,15,18,17,17,13
13,14,18,15,18,19,18,19,21,18,19,20,22,17,16,22,15,18,17,19,15,12,19,18,18,18,14,17,18,19,15,18,13,17,18,21,16,19,19,18,19,20,20,18,20,20,20,21,21,21
0,0,1,1,2,0,0,0,2,1,2,1,1,0,3,1,0,0,1,1,1,2,1,3,2,0,0,4,2,4,5,4,0,1,1,1,1,1,1,0,3,1,1,3,1,2,2,2,2,0
1,2,1,1,2,0,2,1,3,1,3,2,2,1,2,2,0,3,2,1,1,1,3,0,1,3,0,3,1,1,1,2,2,4,2,2,3,1,3,2,2,1,0,1,3,1,4,1,0,5
0,2,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,2,1,1,1,0,0,0,1,1,1,1,0,1,2,1,1,1,1,2,0,3,1,1,0,0,1,1,1,0,1,2,1,0
1,2,0,0,1,0,3,0,1,1,0,1,1,1,0,2,2,3,0,2,0,1,4,1,3,3,2,0,0,3,0,0,0,0,0,2,1,2,0,0,1,0,2,1,0,2,0,0,2,2
0,1,1,0,0,2,3,4,2,1,3,0,1,1,1,3,2,2,0,0,5,2,2,1,2,2,2,2,2,1,0,2,3,5,4,0,0,1,2,1,3,0,1,1,2,2,2,2,0,1
1,2,5,2,1,1,0,3,2,1,3,4,3,3,1,3,4,1,4,2,4,1,0,2,3,2,3,2,2,0,2,2,1,3,6,1,1,3,1,3,4,1,5,2,2,3,5,4,2,3
0,0,1,1,1,1,2,0,1,1,1,2,1,0,2,0,2,0,1,1,0,2,0,0,0,1,1,2,0,0,2,1,3,1,1,0,1,1,2,0,0,3,2,0,2,0,1,0,0,1
1,0,1,0,1,0,2,2,3,1,1,1,1,1,0,1,0,1,1,3,1,0,0,1,0,0,0,1,1,4,1,1,0,1,1,0,2,1,1,1,1,2,4,1,1,3,3,4,1,0
